DTP Enlistment Date,CI Screening result at  DODCAF,ARMY G1 Review,USCIS Notified on Final Suitability
6/1/16,2/5/18,Suitable,4/10/18
1/5/16,11/17/17,Suitable,3/1/18
3/16/16,11/28/17,,
12/7/15,9/13/17,,
3/16/16,1/30/18,,
1/6/16,1/30/18,Suitable,3/23/18
4/28/16,2/4/18,Suitable,4/18/18
4/5/16,2/12/18,,
5/6/16,1/23/18,,
12/10/15,10/25/17,,
12/8/15,9/10/17,,
4/14/16,12/20/17,,
3/21/16,1/25/18,,
3/24/16,1/4/18,,
3/16/16,12/21/17,Suitable,3/1/18
11/30/15,12/26/17,Suitable,3/1/18
5/4/16,12/20/17,Suitable,3/1/18
2/5/16,11/26/17,Suitable,3/1/18
4/22/16,2/8/18,Suitable,5/2/18
12/18/15,9/14/17,,
3/16/16,12/24/17,Suitable,2/15/18
4/8/15,N/A,,
5/4/16,2/4/18,,
2/4/16,11/15/17,Suitable,4/10/18
4/28/16,1/9/18,Suitable,3/20/18
3/31/16,12/13/17,,
5/20/16,1/30/18,,
4/26/16,1/8/18,,
12/18/15,1/30/18,,
4/13/16,1/29/18,Suitable,4/10/18
4/29/16,1/9/18,Suitable,4/18/18
1/29/16,11/14/17,,
4/8/16,12/18/17,,
9/28/15,2/9/18,,
4/7/16,2/14/18,Suitable,4/10/18
1/20/16,1/10/18,Suitable,3/1/18
12/28/15,,Unsuitable,
3/3/16,12/6/17,,
2/5/16,11/17/17,,
3/16/16,1/26/18,,
3/16/16,1/30/18,Suitable,3/23/18
1/8/16,1/26/18,Suitable,3/1/18
6/7/16,2/28/18,,
1/8/16,,Unsuitable,3/13/18
2/25/16,11/18/17,,
2/5/16,1/18/18,,
4/12/16,,,
3/11/16,1/11/18,Suitable,5/2/18
6/1/16,1/23/18,,
5/25/16,2/9/18,Suitable,5/2/18
4/14/16,1/17/18,Suitable,3/1/18
12/7/15,11/14/17,Suitable,3/1/18
4/20/16,,,
1/22/16,12/5/17,,
2/4/16,1/16/18,,
5/5/16,1/22/18,,
3/18/16,,,
2/5/16,,,
3/30/16,12/13/17,,
2/2/16,10/12/17,Suitable,3/1/18
12/11/15,10/31/17,Suitable,3/1/18
5/5/16,1/30/18,,
2/10/16,1/6/18,,
6/1/16,1/22/18,,
4/8/16,1/25/18,Suitable,3/23/18
11/6/15,9/13/17,Unsuitable,
1/26/16,1/30/18,,
10/2/15,9/11/17,Unsuitable,
3/29/16,1/17/18,,
5/17/16,2/4/18,,
5/17/16,3/5/18,Suitable,4/18/18
4/15/16,2/5/18,,
3/31/16,2/5/18,Suitable,5/2/18
12/9/15,10/18/17,Suitable,2/27/18
4/8/16,2/9/18,,
5/17/16,1/26/18,,
6/2/16,1/18/18,,
5/26/16,2/5/18,,
3/30/16,2/3/18,Suitable,4/3/18
6/6/16,,,
1/12/16,,,
1/26/16,1/22/18,,
6/17/16,2/2/18,,
6/7/16,1/26/18,,
1/26/16,4/25/18,,
3/16/16,1/18/18,,
6/2/16,1/11/17,,
5/19/16,2/5/18,,
4/25/16,2/8/18,Suitable,5/2/18
2/26/16,12/7/17,,
5/4/16,2/22/18,,
5/17/16,3/1/18,,
5/20/16,2/5/18,Suitable,5/2/18
11/10/15,9/11/17,Suitable,11/9/17
9/30/15,8/30/17,,
3/25/16,12/26/17,,
5/12/16,3/1/18,,
3/31/16,12/20/17,,
3/25/16,N/A,,
6/16/16,2/18/18,,
11/13/15,10/8/17,Suitable,3/1/18
12/21/15,2/14/18,,
1/14/16,11/13/17,,
2/16/16,2/5/18,,
4/8/16,1/24/18,,
4/13/16,1/2/18,,
5/26/16,1/17/18,,
6/22/16,1/29/18,,
5/18/16,1/29/18,,
2/18/16,1/14/18,,
12/21/15,10/20/17,,
3/10/16,2/14/18,,
6/1/16,,,
1/7/16,1/14/18,,
10/29/15,1/4/18,Suitable,5/2/18
6/7/16,1/25/18,Suitable,4/10/18
11/23/15,,Unsuitable,
3/25/16,1/25/18,,
6/24/16,1/18/18,Suitable,4/18/18
12/8/15,2/18/18,Suitable,5/2/18
12/21/15,10/4/17,Suitable,
2/22/16,1/8/17,Suitable,4/10/18
6/24/16,1/17/18,,
4/5/16,1/23/18,,
3/24/16,1/10/18,Pending,
1/19/16,2/7/18,Suitable,5/2/18
5/6/16,12/27/17,,
2/29/16,11/28/17,Suitable,4/10/18
3/3/16,11/29/17,,
2/19/16,9/11/17,,
2/25/16,1/26/18,Suitable,3/1/18
6/21/16,2/15/18,Suitable,4/18/18
12/22/15,10/22/17,Suitable,3/1/18
6/10/16,1/24/18,Suitable,4/18/18
1/14/16,11/27/17,Suitable,4/10/18
6/9/16,1/23/18,,
3/29/16,2/5/18,Suitable,4/10/18
3/11/16,1/16/18,,
2/23/16,1/24/18,,
6/8/16,2/5/18,,
3/30/16,12/20/17,Suitable,4/10/18
3/10/16,12/26/17,Suitable,2/15/18
4/1/16,1/25/18,Suitable,3/1/18
2/4/16,1/5/18,Suitable,2/15/18
3/18/16,12/28/17,,
6/23/16,,,
3/1/16,2/15/18,,
3/18/16,2/21/18,Suitable,4/3/18
12/23/15,10/5/17,,
12/3/15,10/13/17,Suitable,3/1/18
6/24/16,1/30/18,,
3/14/16,1/14/18,,
6/23/16,2/12/18,,
3/18/16,1/9/18,,
12/21/15,11/27/17,Suitable,3/1/18
8/6/15,12/26/17,,
3/16/16,1/22/18,Suitable,5/2/18
1/12/16,10/20/17,Suitable,4/3/18
4/6/16,1/10/18,Suitable,3/1/18
