CEIPT_DT_1,INTERV EW_DT_1,DECISION_DT_1,RECEIPT_DT_2,INTERV EW_DT_2,DECISION_DT_2,DEC SION_DT_4,INTERVIEW_COMPLETED   SCHEDULED_INTERVIEW_DT,DEP_DTP_Enlistment_Date   ,CI_Screening_Results_at_DoDCAF  , Completed_MSSD,USCIS_Notified_on_F nal_Su tab lity_Determination_ Date)
8/28/17,,,,,,,,6/2/16,1/19/18,3/1/18,3/1/18
3/8/17,,,,,,,,12/23/15,9/26/17,,
3/13/18,,,,,,,,5/23/16,1/22/18,3/1/18,3/1/18
2/17/17,,,2/21/17,,,,,5/17/16,2/28/18,,
7/10/17,,,,,,,6/27/18,1/14/16,1/29/18,4/18/18,4/18/18
2/6/17,,,,,,,,3/10/16,9/29/17,,
12/20/17,,,,,,,,3/30/16,2/8/18,,
7/18/17,,,,,,,,5/6/16,1/24/18,,
3/10/17,,,,,,,,3/29/16,12/28/17,3/1/18,3/1/18
7/17/17,,,,,,,,5/31/16,2/7/18,5/11/18,5/11/18
4/20/17,,,,,,,6/21/18,4/14/16,12/6/17,,
4/27/18,,,,,,,,2/10/16,12/26/17,,
1/25/18,,,,,,,,3/17/16,1/6/18,3/23/18,3/23/18
3/22/17,,,,,,,,10/8/15,8/25/17,,
4/19/17,,,,,,,,4/15/16,2/3/18,,
7/3/17,,,,,,,,2/1/16,,,
1/24/18,,,,,,,,12/18/15,9/11/17,,
2/27/18,,,,,,,,5/2/16,12/22/17,3/1/18,3/1/18
4/21/17,,,,,,,6/13/18,6/14/16,2/15/18,4/10/18,4/10/18
2/21/17,,,,,,,,3/10/16,12/6/17,,
12/28/17,,,,,,,,2/4/16,11/28/17,4/10/18,4/10/18
1/19/18,,,,,,,,12/17/15,9/12/17,,
2/8/17,,,,,,,,2/17/16,1/16/18,,
6/20/17,4/24/18,,,,,Yes,,5/4/16,2/21/18,3/23/18,3/23/18
4/6/17,,,,,,,,2/25/16,2/8/18,5/2/18,5/2/18
3/20/17,,,,,,,,12/23/15,9/19/17,,
4/4/17,,,,,,,,4/21/16,2/3/18,5/23/18,5/23/18
1/12/18,5/17/18,5/17/18,,,,Yes,,5/25/16,1/10/18,5/2/18,5/2/18
6/30/17,,,,,,,,6/9/16,1/23/18,,
3/16/18,,,,,,,,4/1/16,1/29/18,4/18/18,4/18/18
3/21/18,,,,,,,,2/10/16,10/15/17,3/1/18,3/1/18
